node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
955,P4,52.191,9.381,19.8,0.109797229843,-0.670712368924,-0.397597512157,0.039831601086,0.013904258785,-0.003377991985
956,P4,62.791,9.381,19.8,0.093204871353,-0.901470980708,-0.505540513897,0.045974144918,0.004585126066,-0.002548404593
957,P4,62.191,9.381,19.8,0.104143734461,-0.804714163244,-0.531335186676,0.043935608493,0.014280494966,-0.002617883344
958,P4,42.791,0.481,19.8,0.105141104203,-0.632037607979,-0.572241150807,0.029527637418,0.010896973627,-0.000262297252
959,P4,42.191,0.481,19.8,0.107301619274,-0.319856976921,-0.463373808568,0.013159257233,0.02555705246,-0.000689508139
960,P4,52.791,0.481,19.8,0.102980790746,-0.774070815298,-0.769008204899,0.037166877552,0.009103266557,-0.000750525718
961,P4,52.191,0.481,19.8,0.105177221817,-0.67076143856,-0.731474817545,0.036113536694,0.021923013056,-0.00038129938
962,P4,62.791,0.481,19.8,0.101547638391,-0.901487874141,-0.889028208002,0.042393863827,0.006784976949,-0.000577674692
963,P4,62.191,0.481,19.8,0.103004436296,-0.804721553544,-0.906744917355,0.041220405248,0.01953848009,-0.000827164117
964,P4,42.791,16.031,19.8,0.115049547933,-0.632052836102,-0.062733312888,0.037072882579,0.001188128804,-0.000412891631
965,P4,42.191,16.031,19.8,0.114710219475,-0.319834481821,-0.232897554007,0.016098118305,0.012856571076,-0.000967296573
966,P4,52.791,16.031,19.8,0.115635407985,-0.774047621438,-0.161995167035,0.041708481344,0.002729475645,-0.001244044803
967,P4,52.191,16.031,19.8,0.115075249646,-0.670750448488,-0.117477028576,0.042699718676,0.011447559531,-0.000340645055
968,P4,62.791,16.031,19.8,0.115257622123,-0.901438985036,-0.187097893216,0.04893274963,0.000913925735,-0.002731298091
969,P4,62.191,16.031,19.8,0.115656199842,-0.804747761913,-0.227640076428,0.0461609063,0.012031471742,-0.001183429615
970,P4,27.191,3.981,19.8,0.106888823875,-0.090540177134,-0.08458602677,-0.007239678044,0.017126930492,0.002948031175
971,P4,47.341,17.701,19.8,0.130465026118,-0.650055098055,-0.010239948116,0.037288784499,0.004965867927,-0.010348744551
972,P4,57.341,17.701,19.8,0.126862999583,-0.788442826419,-0.107864287243,0.042540697856,0.006266337031,-0.00747294734
973,P4,75.73,0.031,19.8,0.062525927253,-0.962783785544,-1.114706572183,0.05496560127,0.009911403968,-0.003054046258
974,P4,74.35,16.181,19.8,0.120012698135,-0.957971814325,-0.247634979246,0.049735564416,0.010503008411,-0.003761880773
975,P4,75.732,16.181,19.8,0.120012698135,-0.963170733554,-0.262151223045,0.049735526349,0.010504527355,-0.003761880773
976,P4,74.352,0.031,19.8,0.062525927253,-0.958575309801,-1.101049659794,0.05496563915,0.009909896781,-0.003054046258
977,P4,74.35,8.931,19.8,0.091705927583,-0.957813491926,-0.611863146305,0.052055409304,0.010500686621,-0.004032878156
978,P4,75.732,8.931,19.8,0.091705927583,-0.963386929537,-0.626377298627,0.052055344237,0.010503784853,-0.004032878156
