node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
698,P2,-0.298,11.736,11.88,-0.012028040093,0.022368348838,-0.001808980142,6.6450734e-05,0.00035198287,0.001268880495
699,P2,-3.348,12.036,11.88,-0.012362613263,0.018952328133,-0.000573324795,0.000149867101,0.00024964996,0.00095172566
700,P2,-3.348,4.416,11.88,-0.004601652049,0.018954705821,-0.000381602077,-0.000160367047,-0.000748785392,0.001153677172
701,P2,-0.298,15.851,11.88,-0.02210262927,0.022348842703,0.001266516104,0.000892302859,-0.000125173657,0.004301072769
702,P2,0.302,12.036,11.88,-0.009046251551,0.031675503287,-0.001794185979,-0.000721581996,-0.000559851254,4.4124581e-05
703,P2,0.302,4.416,11.88,-0.000350040619,0.023344928507,0.004534016229,-0.000516416467,0.00049556723,0.002651734449
704,P2,-1.898,16.451,11.88,-0.009379322131,0.028687578946,-0.007066902008,-0.003152223935,-0.000586183583,0.001364360869
705,P2,-1.898,-0.299,11.88,0.003842486092,0.01713917093,0.001045686553,1.820104e-06,-0.000289905365,0.003347920656
706,P3,-0.298,16.451,15.84,-0.011318717853,0.040863966992,-0.004355514952,-0.002128895713,-0.000391317297,0.001686817881
707,P3,4.052,16.451,15.84,-0.011318717853,0.048201624775,-0.002653284709,-0.002128895713,-0.000391317297,0.001686817881
708,P3,0.302,15.851,15.84,-0.009856368408,0.040847135046,-0.003339455528,-0.000509035985,-0.000393860977,-0.000604826148
709,P3,3.452,15.851,15.84,-0.009854735909,0.040515103094,-0.002088219953,-0.000404672625,-0.000402870707,0.000929661288
710,P3,12.202,16.451,15.84,-0.010429685803,0.051603998338,-0.000546220426,-0.00221023708,3.9558508e-05,-0.000744537213
711,P3,12.202,15.851,15.84,-0.010359580438,0.063451984441,4.6527854e-05,-5.9982403e-05,4.3541082e-05,0.00039496858
712,P3,22.802,16.451,15.84,-0.011306295487,0.071622058792,-0.01806342227,-0.005105668947,0.004135436362,0.004246399929
713,P3,22.202,15.851,15.84,-0.008839599727,0.069693493477,-0.013240936641,-0.003070567514,0.003723348172,0.002266862494
714,P3,22.202,9.201,15.84,-0.00412473698,0.069691710972,0.006243448189,-0.003011115491,-0.001342156441,0.002482453993
715,P3,22.202,8.601,15.84,-0.00171177674,0.067482343757,0.006968857161,-0.000904879958,-0.001729102839,0.002026834806
716,P3,12.202,-0.299,15.84,0.001255937878,0.063223274625,0.001736488339,-0.000751316667,7.6479255e-05,0.000356071018
717,P3,12.802,8.601,15.84,-0.003499061158,0.064240480981,-0.002507982379,-1.304101e-06,-0.000404425996,-0.001632956534
718,P3,12.802,0.301,15.84,0.002155893443,0.064619122571,-0.000857569758,-0.000586218271,-0.000200786601,-0.001239540115
719,P3,12.202,8.601,15.84,-0.003441671386,0.063356148265,0.001438521884,-0.000253516191,-9.1660282e-05,0.001612451451
720,P3,22.202,-0.299,15.84,0.002178189376,0.067330294596,0.000613999785,-0.000553793134,0.000363361637,0.004044893047
721,P3,22.802,0.301,15.84,-0.005083876096,0.067303584019,0.031073605294,-0.004025747769,-0.002558152672,0.003624425463
723,P3,4.052,11.736,15.84,-0.009143145502,0.040670082435,-0.00146772376,2.1158937e-05,-0.000258410805,0.000341032238
724,P3,3.452,12.036,15.84,-0.011435174678,0.040409249783,-0.000124420034,-0.000564618212,-0.000381225004,-0.000477432308
725,P3,4.052,9.201,15.84,-0.005179575702,0.040699660384,-0.001285525836,-0.000230489112,-0.000233540222,0.003345547517
726,P3,4.052,8.601,15.84,-0.003558411231,0.048803050672,-0.001527244346,-0.000281086752,-0.000588059606,0.001090685408
727,P3,4.052,4.116,15.84,-0.001255630412,0.048799114076,-0.00133723945,4.8044564e-05,-0.000433122306,0.0002178857
728,P3,3.452,8.601,15.84,-0.009849023417,0.04032343433,0.001636382486,-0.000409039354,-0.000306843925,0.002558717999
729,P3,3.452,4.416,15.84,-0.00197989621,0.040279516591,0.001966499789,0.000138995667,0.000305141005,0.002228349361
730,P3,4.052,0.301,15.84,0.000308164357,0.048795765556,-0.000923234601,-0.000372396008,-0.0003013306,0.000805742846
731,P3,3.452,-0.299,15.84,0.001872297284,0.040279756052,0.001037571633,-2.3959714e-05,0.000173386476,0.002655456787
732,P3,-0.298,-0.299,15.84,0.001893657493,0.028966806439,0.001132173523,-9.6152964e-05,-0.000177186495,0.003809457596
733,P3,0.302,0.301,15.84,-6.2215832e-05,0.030059000953,0.001333134107,2.0561759e-05,1.5877606e-05,0.002842381163
734,P3,-0.298,4.116,15.84,-0.006600248394,0.029007626336,0.001364321247,7.7548109e-05,-0.000526948719,0.001135401059
735,P3,-0.298,11.736,15.84,-0.015860797052,0.028761304493,-0.001161386282,3.5273693e-05,0.000177882302,0.001591268453
736,P3,-3.348,12.036,15.84,-0.016295332573,0.0243518535,-0.000556161616,0.000105999108,7.4041012e-05,0.001253400007
737,P3,-3.348,4.416,15.84,-0.007054235941,0.024357729776,-0.000226123053,-0.000127914562,-0.000459817204,0.00164871009
738,P3,-0.298,15.851,15.84,-0.027104207603,0.028737749886,0.00057948629,0.000459080641,-4.6411519e-05,0.00488519678
739,P3,0.302,12.036,15.84,-0.011434358428,0.040857679492,-0.001334182373,-0.000538852904,-0.000385729869,-7.5109507e-05
740,P3,0.302,4.416,15.84,-0.00197283411,0.029944886028,0.002968224791,-0.000322214892,0.000300418659,0.003311529094
741,P3,-1.898,16.451,15.84,-0.011318717853,0.038165058382,-0.004981622627,-0.002128895713,-0.000391317297,0.001686817881
742,P3,-1.898,-0.299,15.84,0.001893657493,0.022871674285,0.00084867513,-9.6152964e-05,-0.000177186495,0.003809457596
743,P4,-0.298,16.451,19.8,-0.034055897305,0.02643911933,0.000844563239,0.000500068074,0.000182828695,0.004826456182
744,P4,4.052,16.451,19.8,-0.034055897305,0.047434203723,4.9258416e-05,0.000500068074,0.000182828695,0.004826456182
745,P4,0.302,15.851,19.8,-0.03107117342,0.033971242192,0.003037227584,0.000806147961,0.000430098623,0.003181855939
746,P4,3.452,15.851,19.8,-0.031080833607,0.044228168957,0.001193738874,0.000304326637,0.000629780251,0.003490341001
747,P4,9.692,16.451,19.8,-0.034055897305,0.074655416591,-0.000981895423,0.000500068074,0.000182828695,0.004826456182
748,P4,10.492,16.451,19.8,-0.012762744549,0.047583672421,0.017549908789,0.000128635337,0.002695012871,0.002468385849
749,P4,12.802,16.451,19.8,-0.012762744549,0.053285643732,0.011324429057,0.000128635337,0.002695012871,0.002468385849
750,P4,9.692,15.851,19.8,-0.031160023596,0.074655416591,-0.001281936267,0.000500068074,0.000182828695,0.004826456182
751,P4,10.492,15.851,19.8,-0.011940983759,0.07929796271,0.008402095996,0.001195739101,0.000906712559,-0.001355303465
752,P4,12.202,15.851,19.8,-0.011940983759,0.076980393784,0.006851617521,0.001195739101,0.000906712559,-0.001355303465
753,P4,19.692,16.451,19.8,-0.013521708709,0.07459942972,-0.008561884489,-0.001294480433,0.003562097319,0.005468891553
754,P4,20.492,16.451,19.8,-0.01358283692,0.078998784164,-0.01147953936,-0.001856155835,0.003713699951,0.005534311081
755,P4,22.802,16.451,19.8,-0.013759344627,0.09214217734,-0.020027069874,-0.00347799356,0.00353384751,0.005885408619
756,P4,19.692,15.851,19.8,-0.010398685035,0.075577300095,-0.007866348843,-0.001353819172,0.003268124738,0.005880648297
757,P4,20.492,15.851,19.8,-0.010340524429,0.080101322547,-0.010475362318,-0.001910338384,0.003237844524,0.005364405006
758,P4,22.202,15.851,19.8,-0.010216206135,0.087466742027,-0.015736504872,-0.003099898198,0.002839857276,0.002953128879
759,P4,22.202,9.201,19.8,-0.009121713306,0.087452755148,0.00540846527,-0.00326720237,-0.001255996198,0.003237619826
760,P4,22.202,8.601,19.8,-0.005813361477,0.092631135443,0.00630798218,-0.000392130912,-0.00164078444,0.003175652751
761,P4,12.202,-0.299,19.8,0.001264427903,0.077396619266,0.001694683061,-0.000592329528,-6.8953176e-05,-0.000733231982
762,P4,12.802,8.601,19.8,-0.00837300369,0.077048836724,-0.001828336625,0.000308030722,-0.000130612246,-0.002059591205
763,P4,12.802,0.301,19.8,0.002749897668,0.076960769779,0.001085592231,-0.000826846487,3.604873e-06,-0.001200047292
764,P4,12.202,8.601,19.8,-0.005335807722,0.07727843693,0.001828206679,0.000156127266,-0.000242010314,0.002528213198
765,P4,22.202,-0.299,19.8,-0.006553229531,0.092677743316,-0.007038821228,0.000965636795,-0.001032218725,0.005492589566
766,P4,22.802,0.301,19.8,-0.01464956664,0.09206509871,0.025838772612,-0.003359673357,-0.003579288247,0.003112787691
767,P4,25.392,16.451,19.8,-0.013957247209,0.10820084884,-0.02775465386,-0.005296417675,0.002241170772,0.006565593843
768,P4,26.192,16.451,19.8,-0.014018375419,0.113559927651,-0.029301955047,-0.005858093078,0.001608742287,0.006836919706
769,P4,25.392,15.851,19.8,-0.009940993313,0.107570922373,-0.024086665564,-0.004881095746,0.002135525045,0.007781751784
770,P4,26.192,15.851,19.8,-0.009871974424,0.113623987103,-0.025633165802,-0.005327791055,0.001714384318,0.00723332496
771,P4,20.067,0.301,19.8,0.002251854108,0.06186401752,-0.000535893373,-0.001839879713,0.000222353911,-0.001135012251
772,P4,20.867,0.301,19.8,-0.009848783271,0.085345136245,-0.007837451148,0.000965636795,-0.001032218725,0.005492589566
773,P4,20.067,-0.299,19.8,0.001570846757,0.06186401752,0.000568034455,-0.001839879713,0.000222353911,-0.001135012251
774,P4,20.867,-0.299,19.8,-0.006553229531,0.085345136245,-0.008416833225,0.000965636795,-0.001032218725,0.005492589566
775,P4,24.767,0.301,19.8,-0.014662997278,0.102803062281,0.032957650101,-0.004354135683,-0.003634296997,0.007194632091
776,P4,25.567,0.301,19.8,-0.014668465222,0.108837261464,0.035854112175,-0.004759005841,-0.003601538992,0.007787801335
777,P4,24.767,-0.299,19.8,-0.006567876897,0.115692750935,-0.003945414337,-0.004435775565,-0.001581280681,0.011779899031
778,P4,25.567,-0.299,19.8,-0.006572445276,0.125596824196,-0.002520800978,-0.006120426593,-0.001999852468,0.012914823627
779,P4,15.567,-0.299,19.8,0.001218306765,0.069332537312,0.001460946375,-0.00143542865,0.000173356363,-0.003150375899
780,P4,14.767,-0.299,19.8,0.001223001232,0.071908679707,0.001584658988,-0.001254983511,0.000135858319,-0.003207192366
781,P4,10.367,-0.299,19.8,0.001279061311,0.076856455314,0.001496831044,-0.00105608327,-0.000141612367,0.001845283108
782,P4,9.567,-0.299,19.8,0.001285440998,0.074577218448,0.001374298391,-0.001258264739,-0.000163754296,0.003952274524
783,P4,4.052,9.201,19.8,-0.007718897387,0.046174728398,-0.00121637103,8.4032571e-05,-0.000211224856,0.005414809306
784,P4,4.052,8.601,19.8,-0.005502248999,0.056325890188,-0.001474313418,-0.00027807656,-0.000520790386,0.001593908875
785,P4,5.767,0.301,19.8,-0.001246944234,0.058888345318,-0.000112282758,-0.001071429862,-0.000107487251,0.00214371099
786,P4,6.567,0.301,19.8,-0.001247862401,0.060903818165,-1.2679644e-05,-0.001406546431,-0.000144689125,0.002919480412
787,P4,4.052,0.301,19.8,-0.001244975916,0.056309616023,-0.000270684053,-0.000353023718,-9.1799071e-05,0.000976189929
788,P4,5.767,-0.299,19.8,0.001367353533,0.054214295145,0.000928925313,-0.001062040541,-5.8332047e-05,0.006562678159
789,P4,6.567,-0.299,19.8,0.00135927673,0.059309024174,0.000974257819,-0.001386816387,-5.6423545e-05,0.006033570159
790,P4,3.452,-0.299,19.8,0.001390725781,0.041387083836,0.000745570605,-0.000122220437,-0.000112000765,0.003342006706
