step,curvature_1_per_m,moment_kNm,converged
137,0.024176470588235334,764.7740998272819,True
138,0.02435294117647063,764.8196362784945,True
139,0.024529411764705925,764.8645795783584,True
140,0.02470588235294122,764.9089263489325,True
141,0.024882352941176515,764.9526731763365,True
142,0.02505882352941181,764.9958166101948,True
143,0.025235294117647106,765.0383531630714,True
144,0.0254117647058824,765.0802793098936,True
145,0.025588235294117696,765.1215914873593,True
146,0.02576470588235299,765.1622860933405,True
147,0.025941176470588287,765.2023594862669,True
148,0.026117647058823582,765.2418079844996,True
149,0.026294117647058877,765.2806278656938,True
150,0.026470588235294173,765.3188153661451,True
151,0.026647058823529468,765.3563666801243,True
